,sentence,classification,tokens
81,장염이라는데 맞는건지 모르겠어요.,1,장염 이라는 데 맞다 건지다 모르다
61,설사복통 멈추는 법좀 알려주세요.,1,설사 복통 멈추다 법좀 알다
111,방귀나 트림이 나오지 않고 속이 더부룩 하고 맹장염은 아닌듯 하고 그냥 장염인가요?,1,방귀 나 트림 이 나오다 않다 속이다 더부 룩 하다 맹장염 은 아니다 하다 그냥 장염 인가요
125,그리고 병원에 가게 된다면 내과로 가야 하나요?,1,그리고 병원 에 가게 되다 내과 로 가야 하나요
20,다시장염에걸린건가요?,1,다시 장염 에 걸리다 가요
183,뭘 제대로 먹지도 못하니까 너무 답답하네요.,1,뭘 제대로 먹다 못 하다 너무 답답하다
93,증상에대한 예상 질환과 치유하는 팁좀 가르쳐주셨으면 합니다.,1,증상 에 대한 예상 질환 과 치유 하다 팁좀 가르치다 하다
55,다른치료 방법이없는지 진심으로 궁금합니다.,1,다른 치료 방법 이 없다 진심 으로 궁금하다
201,아님 성관계 때문에 생긴 성병일 수 있나요?,1,아니다 성관계 때문 에 생기다 성병 일 수 있다
101,병원 안가고 최대한 빨리 낫는 법이랑 진통제 먹어도 되는지 여부 좀 말해주세요.,1,병원 안 가다 최대한 빨리 낫다 법 이랑 진통제 먹다 되다 여부 좀 말 해주다
10,장염이나 맹장염은 참을 수 없을만큼의 복통이 오나요?,1,장염 이나 맹장염 은 차다 수 없다 복통 이 오다
274,대장내시경을 또 해야하나요?,1,대장 내시경 을 또 하다
84,다시 병원 가야하나요?,1,다시 병원 가다
114,어떤약을 먹어야 하나요?,1,어떤 약 을 먹다 하나요
57,병원에가봐야할까요?,1,병원 에가 보다 야하다 요
18,근데너무장이꼬이는듯이 복통이일주일에 1~2번계속그러는데 괜찮을까요?,1,근데 너 무장 이 꼬이다 복통 이 일주일 에 1~2 번 계속 그렇다 괜찮다
52,치질은 항문에서 피가 나고 아픈 거 아닌가요?,1,치질 은 항문 에서 피 가 나다 아프다 거 아니다
152,1 복부초음파로도 난소까지 볼수있나요?,1,1 복부 초음파 로 도 난소 까지 보다
102,왜그런걸까요?,1,왜 그런 걸 끄다
65,복통이 잦아서 어디 이상이 생긴건가 싶어 대장내시경이라도 받고 싶지만 내시경 준비과정이나 항문의 통증으로 가능할지도 모르겠네요.,1,복통 이 잦다 어디 이상 이 생기다 건가 싶다 대장 내시경 이라도 받다 싶다 내시경 준비 과정 이나   항문 의 통증 으로 가능하다 모르다
276,씨티촬영이나 복부초음파로 나타나지 않는 2탈장은 정말 복통 그리고 그외의 건강에 아무 문제를 일으키지 않나요?,1,씨티 촬영 이나 복부 초음파 로 나타나다 않다 2 탈장 은 정말 복통 그리고 그 외 의 건강 에 아무 문제 를 일으키다 않다
124,4 복부초음파가 믿을만한 정확한 검사인가요?,1,4 복부 초음파 가 믿다 정확하다 검사 인가요
169,왜이런증상이 일어나는 것일까요?,1,왜 이런 증상 이 일어나다 것 이다 요
130,-식사는 정상적으로 잘 하고 있는데 많이 먹어도 되나요?,1,식사 는 정상 적 으로 자다 하다 있다 많이 먹다 되다
208,이거 혹시 바이러스성 장염인가요?,1,이 거 혹시 바이러스 성 장염 인가요
207,병원을 가도 별 증상이 없다고 하는데 왜 이러는거죠,1,병원 을 가도 별 증상 이 없다 하다 왜 이르다
48,어떻게 치료하면 낳을수있을까요?,1,어떻다 치료 하다 낳다
242,아니면 식체인가요?,1,아니다 식체 인가요
69,혹시 판독결과 이후에 소견 외의 다른 질환이 발견되는 경우도 있는지 궁금합니다.,1,혹시 판독 결과 이후 에 소견 외 의 다른 질환 이 발견 되다 경우 도 있다 궁금하다
50,대체 왜이러는 걸까요?,1,대체 왜 이르다 걸다 요
105,어지러운건 일시적이고 배아픈건 위염일까요?,1,어지럽다 일시 적 이고 배 아프다 위염 이다 요
186,병원을 가야하는건지,1,병원 을 가야 하다 건지다
189,법이나 민간요법도 있다면 알려주셨으면 하고요.,1,법 이나 민간요법 도 있다 알다 하다
96,병원에 또 다시 가봐야하는걸까요?,1,병원 에 또 다시 가보다 끄다
5,지속되는 복통의 원인이 뭔가요?,1,지속 되다 복통 의 원인 이 뭔가 요
249,글로서는 정확한 증상을 알기 힘들겠지만 그래도 혹시나 의심되는게 있다면 좀 알려주셨으면해요.,1,글 로서 는 정확하다 증상 을 알다 힘들다 그래도 혹시 나 의심 되다 있다 좀 알다 해 요
261,아니면 민간요법으로 치유가 가능한가요?,1,아니다 민간요법 으로 치유 가 가능하다
122,트름해도아프고 이거무슨증상이죠 병원가봐야되나요?,1,트름 하다 아프다 이 거 무슨 증상 이 죠 병원 가보다 되다
260,병원은 이곳 한곳에서만 진단을 받고 상담받은거라 자궁근종용해술을 받고도 아무탈없이 나중에 임신이 가능할 수 있을지 너무 걱정되요.,1,병원 은 이 곳 한 곳 에서만 진단 을 받다 상담 받다 자궁 근 종 용해 술 을 받다 아무 탈 없이 나중 에 임신 이 가능하다 수 있다 너무 걱정 되다
210,패스트 푸드 잘못먹으면 원래 이렇게 아픈가요?,1,패스트 푸드 잘 못 먹다 원래 이렇게 아프다
60,소화기쪽 진료를 추가적으로 봐야될지,1,소화기 쪽 진료 를 추가 적 으로 보다 되다
235,왜이럴까요?,1,왜 이렇다 요
267,설사약이나 소화제만 먹어도 괜찮나요?,1,설사약 이나 소 화제 만 먹다 괜찮다
275,1 딱딱한 변으로 인한 항문파열에 좋은 방법2 복통후 설사의 원인 해결방법 이 외에도 도움 될 만한 말들,1,1 딱딱하다 변 으로 인하다 항문 파열 에 좋다 방법 2 복통 후 설사 의 원인 해결 방법 이 외 에도 도움 되다 만 한 말 들
196,혹시 이것이 맹장일수도 있나요?,1,혹시 이 것 이 맹장 일 수도 있다
285,복부초음파 하면 증상을알 수 있을까요?,1,복부 초음파 하다 증상 을 알 수 있다
37,어떡하죠 심리적인 요인 때문인가요?,1,어떡하다 심리 적 인 요인 때문 인가요
31,어떤 병원에 가서 검사를 받아야 하고 생활습관을 어떻게 고쳐야할지 궁금합니다.,1,어떻다 병원 에 가다 검사 를 받다 하다 생활 습관 을 어떻다 고치다 야하다 궁금하다
282,소변에는 아무 이상도 없고 생리도 전혀 아닌데 왜 이러는 건가요?,1,소변 에는 아무 이상 도 없다 생리 도 전혀 아니다 왜 이르다 건가 요
77,연관이 있을까요?,1,연관 이 있다
250,그냥 감기인가요?,1,그냥 감기 인가요
270,생리하는게 맞나요?,1,생리 하다 맞다
23,점심을 급하게 먹은거 빼고는 없는데원인이 무언가요?,1,점심 을   급하다 먹다 빼다 없다 원인 이 무언가 요
90,혹시 이중에 맞는 약이 있는지 아님 어떻게든 약국을 찾아서 다른 약을 찾아야 할까요?,1,혹시 이중 에 맞다 약 이 있다 아니다 어떻 게 든 약국 을 찾다 다른 약 을 찾다 하다 요
271,복통 때문에 응급실에 가면 보통 무슨 검사를 하나요?,1,복통 때문 에 응급실 에 가면 보통 무슨 검사 를 하나요
118,병원에 가봐야 확실히 알 수 있다는 건 알지만혹시 이런 증상으로 의심 되는 병좀 말씀 해 주시면 안 될까요?,1,병원 에 가보다 확실하다 알 수 있다 건 알 지만 혹시 이렇다 증상 으로 의심 되다 병좀 말씀 해 주시 면 안 되다 요
284,",진짜 왜 이럴까요?",1,진짜 왜 이렇다 요
83,내과를 가야할까요?,1,내과 를 가야 하다 요
88,복통이 없으면 스멕타 먹어도 되나요?,1,복통 이 없다 스멕타 먹다 되다
215,11시쯤에 일어나서 빈속으로 지내다가 1시쯤에 갑자기 목이 너무 마르고 속이 타는 느낌이라 조금씩 물1리터정도 마시고 4시쯤에 비빔면이랑 가브리살 조금 먹고 9시쯤에 갑자기 복통이 조금씩 오더니 10시부터 설사를 하는데 왜이럴까요?,1,11시 쯤에 일어나서 빈속 으로 지내다 1시 쯤에 갑자기 목 이 너무 마르고 속이다 타다 느낌 이라 조금씩 물 1 리터 정도 말다 4시 쯤에 비빔면 이랑 가다 브리 살 조금 먹다 9시 쯤에 갑자기 복통 이 조금씩 오다 10시 부터 설사 를 하다 왜 이렇다 요
95,요즘 응가하고나면 갑자기 복통이 심해지는데 왜이러는걸까요?,1,요즘 응 가하다 갑자기 복통 이 심해지다 왜 이르다 끄다
144,암튼 그래서 항생제 받아서 먹고있긴한데 1 일단 이 요도염 맞는건가요?,1,암튼 그래서 항생제 받다 먹다 있다 1 일단 이 요도 염 맞다 가요
54,말그대로 왜 아픈지 모르겠어요.,1,말 그대로 왜 아프다 모르다
106,이유가 뭘까요?,1,이유 가 뭘 끄다
239,아니면 항문에서 생긴 상처로 인한 출혈일까요?,1,아니다 항문 에서 생기다 상처 로 인하다 출혈 이다 요
87,"병명과 치료법,치료비용이 궁금합니다.",1,병명 과 치료법 치료 비용 이 궁금하다
9,약을 먹고 있음에도 크게 증상이 개선되지 않는것 같아 걱정입니다.,1,약 을 먹다 있다 크게 증상 이 개선 되다 않다 같다 걱정 이다
86,바로 병원에 가야 하나요?,1,바로 병원 에 가야 하나요
97,그래서 이게 지금 병원을 갈정도인건지 잘모르겠어요.,1,그래서 이 게 지금 병원 을 갈다 정도 인 건지다 잘 모르다
222,시술후 복통이 있을 수 있는지와 시술후 -를 찍었을때 어떻게 사진이 찍혀야 하는게 맞는건지 알고 싶습니다.,1,시술 후 복통 이 있다 수 있다 시술 후 를 찍다 때 어떻다 사진 이 찍히다 하다 맞다 건지다 알 고 싶다
46,감기증상편도부음복통설사 일 경우 내과가는게 좋을까요?,1,감기 증상 편 도부 음 복통 설사 일 경우 내과 가다 좋다
257,이런 증상때문에 고생하신분 있다면좋은 음식물이나 약 추천 바랍니다.,1,이렇다 증상 때문 에 고생 하 신분 있다 좋다 음식물 이나 약 추천 바라다
104,위랑 연관은 있는건가요?,1,위 랑 연관 은 있다 가요
232,질문2갑자기 여자친구가 복통을호소하는데 요도염때문인가요?,1,질문 2 갑자기 여자친구 가 복통 을 호소 하다 요도 염 때문 인가요
129,판독 결과가 오래 걸린다는건 아는데소견과 판독결과가 차이가많이 나는 경우도 있나요?,1,판독 결과 가 오래 걸리다 알다 소견 과 판독 결과 가 차이 가 많이 나 는 경우 도 있다
99,복통의 이유는 뭘까요?,1,복통 의 이유 는 뭘 끄다
74,원래 맹장은 피검사나 엑스레이찍으면 알수있을거같은데 아닌가요?,1,원래 맹장 은 피 검사 나 엑스레이 찍다 알다 같다 아니다
15,병원가봐야 하는걸까요?,1,병원 가보다 하 는걸 끄다
234,이거 장염인건지 위가 꼬인건지 뭔가요?,1,이 거 장염 인 건지다 위 가 꼬이다 건지다 뭔가 요
85,장염증상인가요?,1,장염 증상 인가요
121,제왕절개 후유증 이런걸까요?,1,제왕절개 후유증 이런 걸 끄다
137,아 병원가야하는지 고민되는데왜이러는거에요?,1,아 병원 가 야하다 고민 되다 왜 이르다
4,벙원에서는 두달후에 보자는데주변에선 자꾸 수술하라고 성화에어찌해야하는지고민이 앞서요.,1,벙원 에서는 두 달후 에 보다 주변 에선 자꾸 수술 하 라고 성화 에 어찌 하다 고민 이 앞서 요
266,정확히 어떤 증상인지 몰라 문의드립니다.,1,정확하다 어떻다 증상 인지 모르다 문의 드리다
216,약국에서 파는 일반 진통제 계속 복용해도되나요?,1,약국 에서 팔다 일반 진통제 계속 복용 하다 되다
172,연결된건 아닌지 내과를 가는게 나을까요?,1,연결 되다 아니다 내과 를 가다 나다
174,이것도 부작용인가요?,1,이 것 도 부작용 인가요
11,아무 이상없는거죠,1,아무 이상 없다
264,무슨질병이있는건가요?,1,무슨 질병 이 있다 가요
229,임신 가능성도 있는 건가요?,1,임신 가능성 도 있다 건가 요
33,자연유산 경우 보호자 없이 수술이 가능한가요?,1,자연 유산 경우 보호자 없이 수술 이 가능하다
227,아니면 이건 무슨 증상인가요?,1,아니다 이건 무슨 증상 인가요
269,약은 어떤걸 복용해야하나요?,1,약 은 어떤 걸 복용 하다
66,배에서 꾸르륵 거리는 소리도 계속 나고위가 운동을 못해서 그런가요?,1,배 에서 꾸르륵 거리 는 소리 도 계속 나 고위 가 운동 을 못 하다 그런 가요
62,질검사를 해야하나요?,1,질 검사 를 하다
139,이건 왜 이런건가요?,1,이건 왜 이런 건가 요
283,제발 과민성 대장염 없에버리는법좀 알려주세요.,1,제발 과민성 대장염 없다 버리다 법좀 알다
117,그리고 제가 생리를 늦추기 위한 목적으로 먹었는데 생리 끝난지 5일후에 복용을 했거든요그러면 원래 주기대로 생리가 하는건가요?,1,그리고 제 가 생리 를 늦추다 위 한 목적 으로 먹다 생리 끝나다 5일 후에 복용 을 하다 그러면 원래 주기 대로 생리 가 하다 가요
230,이대로 어떡하죠 지금은새벽인데,1,이대로 어떡하다 지 금은 새벽 인데
217,무슨병이고 어떻게 해야하나요?,1,무슨 병 이고 어떻다 하다
157,또다른 질병이 생긴걸까요?,1,또다른 질병 이 생기다 걸다 요
168,소화기계안좋다고 생각은했는데 갑자기 장염이라도 걸린건가요?,1,소화기 계 안좋다 생각 은 하다 갑자기 장염 이라도 걸리다 가요
225,질문3저는 소변에 아주조금 염증이 있다고했는데 성병이아닌 최근에 몸이 너무피로해서 생긴 염증일수도있나요?,1,질문 3 저 는 소변 에 아주 조금 염증 이 있다 하다 성병 이 아니다 최근 에 몸 이 너무 피로하다 생기다 염증 일 수도 있다
98,증상을 보시고 장염이 맞는지 그리고 간호방법 같은 것이 있으면 조언해 주시면,1,증상 을 보시 고 장염 이 맞다 그리고 간호 방법 같다 것 이 있다 조언 하다 주시 면
220,왜때문에 그런거죠장염은 아닌것같은데,1,왜 때문 에 그런 거 죠 장염 은 아니다 같다
203,왜 이러는건가요?,1,왜 이르다 가요
150,대충이라도 예상되는게 있으실까요?,1,대충 이라도 예상 되다 있다 요
7,스트레스성 복통인가요?,1,스트레스 성 복통 인가요
120,혹시 장염이 재발되는 건가요?,1,혹시 장염 이 재발 되다 건가 요
70,단순히 과식때문인가요?,1,단순하다 과식 때문 인가요
194,질문1이런 경우 성병에 의한 문제일까요?,1,질문 1 이렇다 경우 성병 에 의하다 문 제일 끄다
221,대체 원인이 무엇일까요?,1,대체 원인 이 무엇 이다 요
251,왜그러죠,1,왜 그렇다
24,혹시 위염이나 위궤양일 가능성이 있을까요?,1,혹시 위염 이나 위궤양 일 가능성 이 있다
19,중절수술과 관련있을까요?,1,중절 수술 과 관련 있다
181,내과가야하나요?,1,내과 가 야하다
255,장염인가요?,1,장염 인가요
132,먹는것도 최근에 문제있었던것은 없는것같은데복부는 원래 통증을 잘 못느끼는 부위의 내장이라던데 이렇게 아프면 크게 문제있는건아닌지,1,먹다 최근 에 문제 있다 없다 같다 복부 는 원래 통증 을 자다 못 느끼다 부위 의 내장 이라 던데 이렇게 아프다 크게 문제 있다 아니다
138,장염 증상에 이러한 증상도 있나요?,1,장염 증상 에 이러하다 증상 도 있다
211,후유증이라 길게 2달까지 통증이 있다는데 진통제 말고 다른 방법이 없을까요?,1,후유증 이라 길다 2 달 까지 통증 이 있다 진통제 말고 다른 방법 이 없다
231,먹자마자 내내 복통에 시달리는 중인데어떻게 조치해야 하나요?,1,먹다 내내 복통 에 시달리다 중 인데 어떻다 조치 하다 하나요
280,뭐가 문제인걸까요?,1,뭐 가 문제 인걸 끄다
108,이게 무슨 정상인지 궁금합니다.,1,이 게 무슨 정상 인지 궁금하다
127,어디가 아픈지 어느 병원을 가봐야할지 모르겠어요.,1,어디가 아프다 어느 병원 을 가보다 야하다 모르다
185,원인이 무엇때문일까요?,1,원인 이 무엇 때문 이다 요
184,괜찮은건가요?,1,괜찮다 건가 요
136,이럴걍우 병원에 가봐야나요?,1,이렇다 걍 우 병원 에 가보다
180,병원을 가봐야 할까요?,1,병원 을 가보다 하다 요
89,큰병은 아닐까 걱정되네요.,1,크다 병 은 아니다 걱정 되다
68,어떻게해야하나요?,1,어떻다 하다
244,왜이러죠 병인가요?,1,왜 이르다 병 인가요
13,이거 약때문인가요?,1,이 거 약 때문 인가요
241,원래 이런가요?,1,원래 이런 가요
75,외과로 가야하나요?,1,외과 로 가다
126,나아지질 않는데 어떡하면 좋을까요?,1,나아지다 않다 어떡하다 좋다
279,질문혹시 췌장이나 쓸개와 같이 촬영에서도 잡히지 않는 암이 있을 수 잇나요?,1,질문 혹시 췌장 이나 쓸개 와 같이 촬영 에서도 잡히다 않다 암 이 있다 수 잇다
248,그리고 대장내시경 같은경우는 마취를 하고 할수도 있는지도 궁금합니다.,1,그리고 대장 내시경 같다 경우 는 마취 를 하다 하다 있다 궁금하다
153,아이스크림 먹어도 되나요?,1,아이스크림 먹다 되다
281,증상명이 정확히 뭔가요?,1,증상 명 이 정확하다 뭔가 요
145,왜이러는건가요?,1,왜 이르다 가요
252,아니면 다른 병을 알리는 신호인지 궁금합니다.,1,아니다 다른 병 을 알리다 신호 인지 궁금하다
147,이럴땐 아무것도 안먹고 물만 마시는게 좋나요?,1,이렇다 땐 아무 것 도 안 먹다 물 만 마시다 좋다
71,제가 겪은 복통 원인이 뭔가요?,1,제 가 겪다 복통 원인 이 뭔가 요
94,너무 아파서 구급차도 부르려햇는데 응급실비용때문에 왜 아픈걸까요?,1,너무 아프다 구급차 도 부르다 햇 늘다 응급실 비용 때문 에 왜 아프다 걸다 요
59,질문2 이렇게 두 달동안 체중도 감소하고 몸이 무기력하게 아픈거면 정말 암처럼 큰 문제가 잇을수잇나요?,1,질문 2 이렇게 두 달동 안 체중 도 감소 하고 몸 이 무기 력 하다 아프다 정말 암 처럼 크다 문제 가 잇다 잇다
56,대장내시경이나따로 뭔 검사를 해봐야 할까요?,1,대장 내시경 이나 따로 뭔 검사 를 해보다 하다 요
179,뭐 잘못 먹어서 그런가요?,1,뭐 잘못 먹다 그런 가요
67,이유가뭔지좀알려주세요.,1,이유 가 뭔 지 좀 알다
123,복통과 항문파열에 좋은 방법이 없을까요?,1,복통 과 항문 파열 에 좋다 방법 이 없다
191,이렇게 출혈과 복통이 없어도 수술이 잘 진행된게 맞을까요?,1,이렇게 출혈 과 복통 이 없다 수술 이 자다 진행 되다 맞다
228,3아님 한달전 방광염같은걸 방치해서 다른병으로 전이된건 아닌지 4치료기간은 어느정도일까요?,1,3 아니다 한 달전 방광염 같다 방치 하다 다른 병 으로 전이 되다 아니다 4 치료 기간 은 어느 정도 이다 요
51,약국가서 다른약을 사먹어야할까요?,1,약 국가 서 다른 약 을 사먹다 하다 요
258,혹시 큰병은 아닐지 걱정이 됩니다.,1,혹시 크다 병 은 아니다 걱정 이 되다
287,배에서 꾸르륵소리도 들려요 병원가야하나요?,1,배 에서 꾸르륵 소리 도 들다 병원 가 야하다
12,자연유산으로 인한 소파수술후 보험기록에 남게되면 나중 취업 했을때 보험기록에 뜨나요?,1,자연 유산 으로 인하다 소파수술 후 보험 기록 에 남다 면 나중 취업 하다 때 보험 기록 에 뜨다
44,어떻게 하면 좋을까요?,1,어떻다 하다 좋다
233,월래 생리할 때 덩어리 져서 안나오는 경우도 있나요?,1,월 래 생리 하다 때 덩어리 져서 안 나오다 경우 도 있다
30,왜 그런건가요?,1,왜 그런 건가 요
195,혹시 의심가는 병명이나 가야할 병원 등을 좀 알려주셨으면 합니다.,1,혹시 의심 가다 병명 이나 가야 하다 병원 등 을 좀 알다 하다
43,그리고 수술할때 자궁유착방지제도 넣긴했는데그럼 후유증을 잘 막아주는거 맞겠죠,1,그리고 수술 하다 때 자궁 유착 방지 제도 넣다 하다 그렇다 후유증 을 자다 막다 맞다
142,1 복부초음파 씨티에서도 별이상 없이 나왔는데이런경우 심한 복통은 어떤 경우가 있을까요?,1,1 복부 초음파 씨티 에서도 별 이상 없이 나오다 이런 경우 심하다 복통 은 어떻다 경우 가 있다
159,계속 일어나거나 앉아 있으면 피가 잘 나올까요?,1,계속 일어나다 앉다 있다 피 가 자다 나오다 요
166,생리늦추는 피임약을 먹는데도 생리할 것 같이 복통 현상이 나타나는데 복용 중단해야되나요?,1,생리 늦추다 피임 약 을 먹다 생리 하다 것 같이 복통 현상 이 나타나다 복용 중단 하다 되다
226,원래 피임약 복용하면 복통이 생기나요?,1,원래 피임 약 복용 하다 복통 이 생기다
253,복통이 계속 있는데 어떻게 해야하죠그리고 설사할때 시커먼 색이었는데 문제가 있는건가요?,1,복통 이 계속 있다 어떻다 하다 그리고 설사 하다 때 시커멓다 색 이다 문제 가 있다 가요
148,무슨병걸린건가요?,1,무슨 병 걸리다 가요
143,자주 이래서 그냥 넘어갈라했는데 배가 계속아프고 속않좋고 배 꾸르륵 거리는데 중간고사라 병원갔다 갈수도 없고 이럴때먹는 약도 다 떨어져서 뭘하면 좀 나아질까요?,1,자주 이래서 그냥 넘어가다 하다 배 가 계속 아프다 속 않다 좋다 배 꾸르륵 거리 는 데 중간고사 라 병원 가다 갈수 도 없다 이렇다 때 먹다 약도 다 떨어지다 뭘 하다 좀 나아지다 요
176,식중독인가요?,1,식중독 인가요
53,왜 그럴까요?,1,왜 그렇다 요
63,이게무슨증상이죠 병원은 내과로가면되나요?,1,이 게 무슨 증상 이 죠 병원 은 내 과로 가면 되다
246,빠른 해결이 가능한건 없나요?,1,빠르다 해결 이 가능하다 없다
2,대장암일까요?,1,대장암 이다 요
22,수술은 정말 잘 되었다고 하던데 혹 이게 후유증인가요?,1,수술 은 정말 자다 되어다 하다 혹 이 게 후유증 인가요
